data,total,positivos,prevalencia
2016-07-13,172,24,0.13953488372093023
2016-07-14,192,29,0.15104166666666666
2016-07-15,170,23,0.13529411764705881
2016-07-16,98,4,0.04081632653061224
2016-07-17,166,7,0.04216867469879518
2016-07-18,159,25,0.15723270440251572
2016-07-19,170,30,0.17647058823529413
2016-07-20,162,26,0.16049382716049382
2016-07-21,167,21,0.12574850299401197
2016-07-22,153,16,0.10457516339869281
2016-07-23,123,13,0.10569105691056911
2016-07-24,194,21,0.10824742268041238
2016-07-25,162,22,0.13580246913580246
2016-07-26,182,27,0.14835164835164835
2016-07-27,189,34,0.17989417989417988
2016-07-28,195,34,0.17435897435897435
2016-07-29,175,24,0.13714285714285715
2016-07-30,135,17,0.1259259259259259
2016-07-31,205,9,0.04390243902439024
2016-08-01,167,30,0.17964071856287425
2016-08-02,123,12,0.0975609756097561
2016-08-03,193,28,0.14507772020725387
2016-08-04,166,16,0.0963855421686747
2016-08-05,175,13,0.07428571428571429
2016-08-06,188,34,0.18085106382978725
2016-08-07,137,13,0.0948905109489051
2016-08-08,209,28,0.1339712918660287
2016-08-09,178,29,0.16292134831460675
2016-08-10,97,10,0.10309278350515463
2016-08-11,170,22,0.12941176470588237
2016-08-12,143,27,0.1888111888111888
2016-08-13,143,7,0.04895104895104895
2016-08-14,223,7,0.03139013452914798
2016-08-15,190,31,0.1631578947368421
2016-08-16,246,27,0.10975609756097561
2016-08-17,185,25,0.13513513513513514
2016-08-18,204,18,0.08823529411764706
2016-08-19,181,18,0.09944751381215469
2016-08-20,145,9,0.06206896551724138
2016-08-21,217,16,0.07373271889400922
2016-08-22,182,26,0.14285714285714285
2016-08-23,157,26,0.16560509554140126
2016-08-24,174,28,0.16091954022988506
2016-08-25,180,30,0.16666666666666666
2016-08-26,175,17,0.09714285714285714
2016-08-27,104,7,0.0673076923076923
2016-08-28,207,7,0.033816425120772944
2016-08-29,167,19,0.11377245508982035
2016-08-30,162,28,0.1728395061728395
2016-08-31,199,21,0.10552763819095477
2016-09-01,107,8,0.07476635514018691
2016-09-02,104,18,0.17307692307692307
2016-09-03,203,20,0.09852216748768473
2016-09-04,127,11,0.08661417322834646
2016-09-05,198,25,0.12626262626262627
2016-09-06,190,20,0.10526315789473684
2016-09-07,108,9,0.08333333333333333
2016-09-08,196,21,0.10714285714285714
2016-09-09,132,21,0.1590909090909091
2016-09-10,169,10,0.05917159763313609
2016-09-11,174,22,0.12643678160919541
2016-09-12,144,25,0.1736111111111111
2016-09-13,172,27,0.1569767441860465
2016-09-14,169,27,0.15976331360946747
2016-09-15,183,29,0.15846994535519127
2016-09-16,154,16,0.1038961038961039
2016-09-17,108,5,0.046296296296296294
2016-09-18,186,11,0.05913978494623656
2016-09-19,170,27,0.1588235294117647
2016-09-20,144,23,0.1597222222222222
2016-09-21,152,23,0.1513157894736842
2016-09-22,178,23,0.12921348314606743
2016-09-23,126,25,0.1984126984126984
2016-09-24,100,7,0.07
2016-09-25,174,15,0.08620689655172414
2016-09-26,160,27,0.16875
2016-09-27,172,24,0.13953488372093023
2016-09-28,166,34,0.20481927710843373
2016-09-29,193,31,0.16062176165803108
2016-09-30,151,30,0.1986754966887417
2016-10-01,164,10,0.06097560975609756
2016-10-02,121,19,0.15702479338842976
2016-10-03,219,28,0.1278538812785388
2016-10-04,150,10,0.06666666666666667
2016-10-05,193,30,0.15544041450777202
2016-10-06,163,22,0.13496932515337423
2016-10-07,167,9,0.05389221556886228
2016-10-08,206,24,0.11650485436893204
2016-10-09,100,5,0.05
2016-10-10,137,38,0.2773722627737226
2016-10-11,155,27,0.17419354838709677
2016-10-12,88,5,0.056818181818181816
2016-10-13,154,26,0.16883116883116883
2016-10-14,133,33,0.24812030075187969
2016-10-15,96,12,0.125
2016-10-16,169,13,0.07692307692307693
2016-10-17,143,32,0.22377622377622378
2016-10-18,136,22,0.16176470588235295
2016-10-19,192,48,0.25
2016-10-20,158,16,0.10126582278481013
2016-10-21,157,27,0.17197452229299362
2016-10-22,85,5,0.058823529411764705
2016-10-23,160,19,0.11875
2016-10-24,153,28,0.1830065359477124
2016-10-25,215,36,0.16744186046511628
2016-10-26,179,41,0.22905027932960895
2016-10-27,183,28,0.15300546448087432
2016-10-28,156,44,0.28205128205128205
2016-10-29,121,8,0.06611570247933884
2016-10-30,212,6,0.02830188679245283
2016-10-31,156,26,0.16666666666666666
2016-11-01,189,35,0.18518518518518517
2016-11-02,158,26,0.16455696202531644
2016-11-03,188,21,0.11170212765957446
2016-11-04,198,17,0.08585858585858586
2016-11-05,185,23,0.12432432432432433
2016-11-06,105,9,0.08571428571428572
2016-11-07,175,29,0.1657142857142857
2016-11-08,221,25,0.11312217194570136
2016-11-09,186,9,0.04838709677419355
2016-11-10,143,29,0.20279720279720279
2016-11-11,141,26,0.18439716312056736
2016-11-12,159,10,0.06289308176100629
2016-11-13,140,9,0.06428571428571428
2016-11-14,125,21,0.168
2016-11-15,112,16,0.14285714285714285
2016-11-16,144,26,0.18055555555555555
2016-11-17,152,21,0.13815789473684212
2016-11-18,135,20,0.14814814814814814
2016-11-19,90,9,0.1
2016-11-20,177,14,0.07909604519774012
2016-11-21,153,32,0.20915032679738563
2016-11-22,146,24,0.1643835616438356
2016-11-23,161,28,0.17391304347826086
2016-11-24,170,32,0.18823529411764706
2016-11-25,160,41,0.25625
2016-11-26,100,6,0.06
2016-11-27,183,9,0.04918032786885246
2016-11-28,137,31,0.22627737226277372
